Customer_id, Customer_name,contact_lastname,contact_firstname,phone,Address_1, Adderss_2, City, State, Postalcode, Country
38,Gifts4AllAges.com,Lewis,Dan,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
39,giftsbymail.co.uk,Yoshido,Juri,20161555,"184, chausse de Tournai",,Lille,,59000,France
40,Handji Gifts& Co,Bennett,Helen,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA
41,Heintze Collectables,Victorino,Wendy,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
42,Herkku Gifts,Ibsen,Palle, 47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
43,"Iberia Gift Imports, Corp.",Oeztan,Veysel, 33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France
44,"La Corne D'abondance, Co.",Roel,Jose Pedro, 81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan
45,La Rochelle Gifts,Bertrand,Marie,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France
46,Land of Toys Inc.,Labrune,Janine,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
47,L'ordine Souveniers,Yu,Kwai,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA
48,Lyon Souveniers,Moroni,Maurizio, 33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France
49,Marseille Mini Autos,Da Cunha,Daniel,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France
50,Marta's Replicas Co.,Lebihan,Laurence,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA
51,"Men 'R' US Retailers, Ltd.",Hernandez,Marta,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
52,Microscale Inc.,Chandler,Michael,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
53,Mini Auto Werke,Kuo,Kee,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
54,Mini Caravy,Mendel,Roland,6505551386,7734 Strong St.,,San Francisco,CA,,USA
55,Mini Classics,Citeaux,Frederique,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
56,Mini Creations Ltd.,Frick,Steve,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
57,Mini Gifts Distributors Ltd.,Tam,Wing C, 61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia
58,Mini Wheels Co.,Nelson,Valarie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
59,Motor Mint Distributors Inc.,Murphy,Julie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
60,Muscle Machine Inc,Hernandez,Rosa, 61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia
61,"Norway Gifts By Mail, Co.",Young,Jeff,20161555,"184, chausse de Tournai",,Lille,,59000,France
62,Online Diecast Creations Co.,Klaeboe,Jan,114988555,Via Monte Bianco 34,,Torino,,10100,Italy
63,Online Mini Collectables,Young,Valarie,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
64,Osaka Souveniers Co.,Barajas,Miguel,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
65,"Oulu Toy Supplies, Inc.",Kentary,Mory, 47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
66,Petit Auto,Koskitalo,Pirkko,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
67,Quebec Home Shopping Network,Dewey,Catherine,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
68,Reims Collectables,Fresnisre,Jean,26471555,59 rue de l'Abbaye,,Reims,,51100,France
69,Rovelli Gifts,Henriot,Paul, 47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
70,"Royal Canadian Collectables, Ltd.",Rovelli,Giovanni,6505551386,7734 Strong St.,,San Francisco,CA,,USA
71,Royale Belge,Lincoln,Elizabeth,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA
72,Salzburg Collectables,Cartrain,Pascale,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
73,"Saveley & Henriot, Co.",Pipps,Georg,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA
74,Scandinavian Gift Ideas,Saveley,Mary,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA
75,Signal Collectibles Ltd.,Larsson,Maria,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
76,Signal Gift Stores,Taylor,Sue,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
77,Souveniers And Things Co.,King,Sue,65629555,Geislweg 14,,Salzburg,,5020,Austria
78,"Stylish Desk Decors, Co.",Huxley,Adrian,6505551386,7734 Strong St.,,San Francisco,CA,,USA
79,Suominen Souveniers,Brown,Ann, 81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan
80,Super Scale Inc.,Suominen,Kalle,604 5553392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada
81,Technics Stores Inc.,Murphy,Leslie,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
82,Tekni Collectables Inc.,Hirano,Juri,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA
83,The Sharp Gifts Warehouse,Brown,William,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
84,"Tokyo Collectables, Ltd",Frick,Sue,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA
85,"Toms Spezialitten, Ltd",Shimamura,Akiko,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA
86,"Toys of Finland, Co.",Pfalzheim,Henriette,90224 8555,Keskuskatu 45,,Helsinki,,21240,Finland
87,Toys4GrownUps.com,Karttunen,Matti,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
88,"UK Collectables, Ltd.",Young,Julie,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France
89,"Vida Sport, Ltd",Devon,Elizabeth,40322555,"54, rue Royale",,Nantes,,44000,France
90,Vitachrome Inc.,Holz,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA
91,"Volvo Model Replicas, Co",Frick,Michael,171 5552282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK
92,West Coast Collectables Co.,Berglund,Christina,2155554695,782 First Street,,Philadelphia,PA,71270,USA
,,Thompson,Steve,,,,,,,
